name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Abogado,vanidad_abogado_fighter,,Vanidad y Afliction,flarelauncher_fighter,,750,100,300,,150,0,,200,400,350,90,180,30,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,104
Lenador,vanidad_lenador,,Vanidad y Afliction,flarelauncher_fighter,,900,250,300,,100,0,,180,300,275,80,170,50,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,302
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forrajeador,vanidad_forrajeador,Combat Freighter,Vanidad y Afliction,burndrive,5,1500,200,2000,1875,150,42,,110,100,75,60,120,300,OMNI,,180,0.4,1,,,20,50,100,40,1,40,10,9000,8,10,240,0.25,4,4,"CIVILIAN, FREIGHTER","vanidad_bp, vanidad_base_hull_bp, hist1t",,,,,
Pazjoya,vanidad_pazjoya,Frigate,Vanidad y Afliction,flarelauncher_active,6,2500,300,2300,1750,195,45,,120,130,110,60,90,200,FRONT,,210,0.4,0.9,,,25,50,40,25,1,25,10,18000,8,10,240,0.25,4,4,,"vanidad_bp, vanidad_base_hull_bp, hist1t",,,,,
Cazador,vanidad_cazador,Frigate,Vanidad y Afliction,vanidad_redirect_power,10,1500,150,3500,2813,225,50,,180,230,230,90,270,200,OMNI,,120,0.2,0.8,,,15,25,30,20,1,20,11,36000,10,20,180,0.25,8,8,,"vanidad_bp, hist2t",0.75,0.5,2,2,206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halcon,vanidad_halcon,Destroyer,Vanidad y Afliction,plasmajets,11,3000,400,6000,6667,350,95,,90,80,60,35,90,300,OMNI,,180,0.4,0.7,,,35,50,50,40,2,20,9,60000,5,20,300,0.25,12,12,,"vanidad_bp, vanidad_base_hull_bp, hist2t",,,,,
Ionizador,vanidad_ionizador,Destroyer,Vanidad y Afliction,vanidad_hyper_stabiliser,12,4000,250,7500,8333,400,115,,80,80,60,30,30,350,FRONT,,300,0.4,1,,,50,70,80,50,2,25,9,45000,5,15,300,0.25,12,12,,"vanidad_bp, vanidad_base_hull_bp, hist1t",,0.5,2,3,301
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viajero Estellar,vanidad_viajero,Stellar voyager,Vanidad y Afliction,targetingfeed,18,6000,750,5000,6000,300,100,3,80,60,40,20,25,800,OMNI,,180,0.5,0.8,,,150,250,90,60,3,20,8,120000,3,12,360,0.25,20,20,"CARRIER, HIDE_IN_CODEX",,,0.5,2,3,407
Granfrio,vanidad_granfrio,Explorer,Vanidad y Afliction,flarelauncher_active,16,9000,750,12000,14000,700,140,1,80,50,40,20,25,2000,FRONT,,360,0.6,0.7,,,150,450,400,200,2,100,8,140000,3,15,420,"0,25",16,16,HIDE_IN_CODEX,,,"0,6",2,4,403
Almadena,vanidad_almadena,Cruiser,Vanidad y Afliction,plasmajets,17,8000,900,11000,16000,700,175,,60,50,25,25,25,1800,OMNI,,180,0.4,0.85,,,75,200,150,90,3,30,8,200000,4,20,420,0.25,30,30,,"vanidad_bp, vanidad_base_hull_bp, hist2t",,0.5,2,3,307
Invasor,vanidad_invasor,Battle carrier,Vanidad y Afliction,damper,18,6000,750,5000,6000,400,135,3,70,60,40,20,25,800,OMNI,,180,0.4,0.8,,,150,250,90,60,3,20,8,120000,3,12,360,0.25,24,24,"CARRIER, COMBAT, NO_AUTO_ESCORT","vanidad_bp, vanidad_base_hull_bp, hist2t",,,,,
Fisgon,vanidad_fisgon,Shielded freighter,Vanidad y Afliction,burndrive,10,5000,600,5050,3600,240,75,,60,40,30,15,20,1000,OMNI,,180,0.4,1,,,40,150,700,90,3,30,7,90000,3,20,420,0.25,9,9,"CIVILIAN, FREIGHTER","vanidad_bp, vanidad_base_hull_bp, hist1t",,,,,
Nave Explorar,vanidad_naveExplorar,Cruiser,Vanidad y Afliction,vanidad_delay,17,7000,800,7500,16000,650,155,1,55,45,30,30,30,1800,OMNI,,120,0.5,0.8,,,100,200,200,90,3,30,8,180000,4,20,420,0.25,23,23,,"vanidad_bp, vanidad_base_hull_bp, hist1t",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comandante,vanidad_comandante,Battleship,Vanidad y Afliction,temporalshell,27,11000,1200,18000,31250,1100,330,2,40,30,30,7,9,3000,OMNI,,240,0.4,0.8,,,350,600,250,350,10,30,7,400000,4,16,720,0.25,50,50,,"vanidad_bp, hist3t",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A firing platform,vanidad_firingplatform,Battleship,VAO,fortressshield,30,18000,1500,25000,31250,1250,370,,30,15,10,5,5,3500,OMNI,,360,0.6,0.6,,,400,1000,300,300,10,30,7,500000,4,20,720,0.25,50,50,HIDE_IN_CODEX,,,,,,
Cargador,vanidad_cargador,Phase Cruiser,Vanidad y Afliction,vanidad_spiraldischarge_system,27,11000,1200,18000,31250,700,150,0,80,100,90,45,100,2500,PHASE,vanidad_spiral_phase,240,0.4,0.8,0.04,0.03,150,300,100,60,3,20,8,400000,4,16,560,0.25,35,35,PHASE,"vanidad_bp, hist3t",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
